"id","ts","title","_yf_slug","_image","price","part_number","overview"
"41170","2017-09-15 23:53:25","Reese Reese Elite Under-Bed Bolt-On Gooseneck Head - 30138","/Towing/Reese-Elite-Under-Bed-Bolt-On-Gooseneck-Head-30138.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=RES30138","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/RES/RES_30138_PIC_4_1_72.jpg&w=200&h=200","$312.99","RES30138",""
"41171","2017-09-15 23:53:30","Reese Reese Elite Under-Bed Gooseneck Hitch - 30158-52","/Towing/Reese-Elite-Under-Bed-Gooseneck-Hitch-30158-52.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=RES30158-52","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/RES/RES_30158-52_PIC_4_1_72.jpg&w=200&h=200","$894.99","RES30158-52",""
"41172","2017-09-15 23:53:30","Reese Reese Goose Box - 94621","/Towing/Reese-Goose-Box-94621.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=RES94621","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/RES/RES_94621_PIC_4_1_72.jpg&w=200&h=200","$1,066.99","RES94621",""
"41173","2017-09-15 23:53:30","Reese Reese Goose Box - 94622","/Towing/Reese-Goose-Box-94622.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=RES94622","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/RES/RES_94622_PIC_4_1_72.jpg&w=200&h=200","$1,103.99","RES94622",""
"41174","2017-09-15 23:53:30","Curt Manufacturing CURT Manufacturing Double Lock Gooseneck Hitch - 60607","/Towing/CURT-Manufacturing-Double-Lock-Gooseneck-Hitch-60607.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=CRT60607","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60607_a.jpg&w=200&h=200","$206.99","CRT60607",""
"41175","2017-09-15 23:53:30","Curt Manufacturing CURT Manufacturing Double-Lock Gooseneck Hitch/Install Kit - 60730","/Towing/CURT-Manufacturing-Double-Lock-Gooseneck-Hitch-Install-Kit-60730.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=CRT60730","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60730_b.jpg&w=200&h=200","$424.99","CRT60730",""
"41176","2017-09-15 23:53:30","Curt Manufacturing CURT Manufacturing Double-Lock Gooseneck Hitch/Install Kit - 60751","/Towing/CURT-Manufacturing-Double-Lock-Gooseneck-Hitch-Install-Kit-60751.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=CRT60751","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60751_a.jpg&w=200&h=200","$455.99","CRT60751",""
"41177","2017-09-15 23:53:30","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Fixed Ball Plate - 61100","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Fixed-Ball-Plate-61100.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=CRT61100","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61100_a.jpg&w=200&h=200","$111.99","CRT61100",""
"41178","2017-09-15 23:53:30","DrawTite DrawTite Hide-A-Goose Complete Kit - 9464-35","/Towing/DrawTite-Hide-A-Goose-Complete-Kit-9464-35.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=DRA9464-35","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_9464-35_PIC_4_1_72.jpg&w=200&h=200","$354.99","DRA9464-35",""
"41179","2017-09-15 23:53:30","DrawTite DrawTite Hide-A-Goose Complete Kit - 9464-38","/Towing/DrawTite-Hide-A-Goose-Complete-Kit-9464-38.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=DRA9464-38","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_9464-38_PIC_4_1_72.jpg&w=200&h=200","$354.99","DRA9464-38",""
"41180","2017-09-15 23:53:30","DrawTite DrawTite Under-Bed Gooseneck Kit - 9465-34","/Towing/DrawTite-Under-Bed-Gooseneck-Kit-9465-34.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=DRA9465-34","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_9465-34_PIC_4_1_72.jpg&w=200&h=200","$354.99","DRA9465-34",""
"41181","2017-09-15 23:53:32","DrawTite DrawTite Under-Bed Gooseneck Kit - 9465-36","/Towing/DrawTite-Under-Bed-Gooseneck-Kit-9465-36.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=DRA9465-36","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_9465-36_PIC_4_1_72.jpg&w=200&h=200","$354.99","DRA9465-36",""
"41182","2017-09-15 23:53:32","DrawTite DrawTite Under-Bed Gooseneck Kit - 9465-40","/Towing/DrawTite-Under-Bed-Gooseneck-Kit-9465-40.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=DRA9465-40","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_9465-40_PIC_4_1_72.jpg&w=200&h=200","$354.99","DRA9465-40",""
